id,classe_id,classe,text,texto
161016,4,raiva,(1) My father died. (2) My natural father contacted me a year  after my father died and this angered me more as I thought he  should be dead and not my father.,(1) Meu pai morreu. (2) Meu pai natural entrou em contato comigo um ano depois que meu pai morreu e isso me irritou mais porque pensei que ele deveria estar morto e não meu pai.
201007,5,tristeza,"1976, Soweto uprising in South Africa and the racist Gout's  reaction to the students demands concerning the educational  system.","1976, o levante do Soweto na África do Sul e a reação racista de Gout às demandas dos estudantes em relação ao sistema educacional."
81068,2,desgosto,"3 years ago I served in the army. Once a collegue denounced me  because of a delict, which is usually committed. I was arrested  for 3 days. I still detest this man.","3 anos atrás, servi no exército. Uma vez um colega me denunciou por causa de um delito, que costuma ser cometido. Fui preso por 3 dias. Eu ainda detesto esse homem."
221043,5,tristeza,"4 years ago my family decided to move from New York to  California. From the time we decided to move until the time we  left, I realized how much my friends cared for me. When we left  and for a long time after that I was very sad.","4 anos atrás minha família decidiu se mudar de Nova York para a Califórnia. Desde o momento em que decidimos nos mudar até a hora em que partimos, percebi o quanto meus amigos se importavam comigo. Quando saímos e por muito tempo depois disso, fiquei muito triste."
121062,0,alegria,Bulgaria won a football match against France.,A Bulgária venceu uma partida de futebol contra a França.
302063,6,vergonha,China not doing well in the Asian Olympic games.,A China não está indo bem nos Jogos Olímpicos da Ásia.
302060,6,vergonha,China not winning more gold medals in the Asian Olympics.,A China não ganha mais medalhas de ouro nas Olimpíadas Asiáticas.
301040,6,vergonha,China cannot buy your reference.,A China não pode comprar sua referência.
301030,6,vergonha,China cannot give your lectures bigger place and sound system.,A China não pode dar maior espaço e sistema de som às suas palestras.
301036,6,vergonha,China cannot let you give more lectures because you are needed in  the specialist clinics. We are so backward in medicine.,A China não pode deixar você dar mais palestras porque você é necessário nas clínicas especializadas. Somos tão atrasados na medicina.
301026,5,tristeza,China can not even give you good sound systems for an open  lecture.,A China não pode nem dar bons sistemas de som para uma palestra aberta.
41045,4,raiva,The housing council asked the city to cut 40 linden trees so that  the inhabitants of the lower floors would have a view to the sea.,A Câmara de Habitação pediu à cidade o corte de 40 tílias para que os habitantes dos pisos inferiores tivessem vista para o mar.
271020,0,alegria,The joy came when I first proposed a girl at Secondary School.,A alegria veio quando propus pela primeira vez uma garota na escola secundária.
